case,native,sgraph,category,native_reason,sgraph_reason
TestSpec2025_Boundary_IntValues/input_boundaries/invalid_boolean,FAIL,FAIL,BOTH_FAIL,"expected a request error, got none; data=map[string]interface {}{""echoInt"":""1""}","expected a request error, got none; data=map[string]interface {}{""echoInt"":""1""}"
TestSpec2025_Boundary_IntValues/input_boundaries/invalid_fraction,FAIL,FAIL,BOTH_FAIL,"expected a request error, got none; data=map[string]interface {}{""echoInt"":""1""}","expected a request error, got none; data=map[string]interface {}{""echoInt"":""1""}"
TestSpec2025_Boundary_IntValues/input_boundaries/invalid_numeric_string,FAIL,FAIL,BOTH_FAIL,"expected a request error, got none; data=map[string]interface {}{""echoInt"":""5""}","expected a request error, got none; data=map[string]interface {}{""echoInt"":""5""}"
TestSpec2025_Boundary_IntValues/input_boundaries/valid_max,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_IntValues/input_boundaries/valid_min,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_IntValues/input_boundaries/valid_minusOne,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_IntValues/input_boundaries/valid_one,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_IntValues/input_boundaries/valid_zero,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_IntValues/result_boundaries/max_int32_serializes,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_IntValues/result_boundaries/out_of_range_result_is_a_field_error,FAIL,PASS,SGRAPH_FIXED,"an out-of-range Int result must produce a field error, got data=map[string]interface {}{""value"":interface {}(nil)}",
TestSpec2025_Boundary_LargeDocument,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_ListSizes/all_null_elements,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_ListSizes/leading_and_trailing_nulls,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_ListSizes/size_0,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_ListSizes/size_1,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_ListSizes/size_1024,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_ListSizes/size_10240,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_NestedListDepth/depth_1,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_NestedListDepth/depth_2,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_NestedListDepth/depth_3,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_NestedListDepth/depth_4,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_NestedListDepth/empty_list_at_each_level,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_RepeatedExecutionIsStable,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_SelectionBreadth/many_aliases_of_one_field,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_SelectionBreadth/width_1,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_SelectionBreadth/width_512,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_SelectionBreadth/width_64,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_SelectionDepth,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_StringValues/control_chars,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_StringValues/empty,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_StringValues/long_64KiB,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_StringValues/non_string_result_is_a_field_error,FAIL,FAIL,BOTH_FAIL,"a non-string result for a String field must produce a field error, got map[string]interface {}{""value"":""42""}","a non-string result for a String field must produce a field error, got map[string]interface {}{""value"":""42""}"
TestSpec2025_Boundary_StringValues/quotes_and_slash,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_StringValues/single,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_StringValues/surrogate_pair,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_StringValues/unicode_bmp,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_VariableCountAndNesting/deeply_nested_input_object,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_VariableCountAndNesting/variables_0,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_VariableCountAndNesting/variables_1,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_VariableCountAndNesting/variables_256,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_VariableCountAndNesting/variables_64,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_AbstractListAndFragments/abstract_element_error_keeps_sibling_root_data,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_AbstractListAndFragments/interface_list_with_typename_and_inline_fragments,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_AbstractListAndFragments/invalid_runtime_type_becomes_a_field_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_AbstractListAndFragments/skip_inside_an_inline_fragment_on_a_list_element,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_AbstractListAndFragments/union_list_with_named_fragments_and_aliases,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ConditionalDirectiveMatrix/field_literal_skip_false_include_false,PASS,FAIL,SGRAPH_REGRESSED,,unexpected errors: [no roots found]
TestSpec2025_Cross_ConditionalDirectiveMatrix/field_literal_skip_false_include_true,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ConditionalDirectiveMatrix/field_literal_skip_true_include_false,PASS,FAIL,SGRAPH_REGRESSED,,unexpected errors: [no roots found]
TestSpec2025_Cross_ConditionalDirectiveMatrix/field_literal_skip_true_include_true,PASS,FAIL,SGRAPH_REGRESSED,,unexpected errors: [no roots found]
TestSpec2025_Cross_ConditionalDirectiveMatrix/field_variable_skip_false_include_false,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ConditionalDirectiveMatrix/field_variable_skip_false_include_true,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ConditionalDirectiveMatrix/field_variable_skip_true_include_false,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ConditionalDirectiveMatrix/field_variable_skip_true_include_true,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ConditionalDirectiveMatrix/fragment_spread_literal_skip_false_include_false,PASS,FAIL,SGRAPH_REGRESSED,,unexpected errors: [no roots found]
TestSpec2025_Cross_ConditionalDirectiveMatrix/fragment_spread_literal_skip_false_include_true,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ConditionalDirectiveMatrix/fragment_spread_literal_skip_true_include_false,PASS,FAIL,SGRAPH_REGRESSED,,unexpected errors: [no roots found]
TestSpec2025_Cross_ConditionalDirectiveMatrix/fragment_spread_literal_skip_true_include_true,PASS,FAIL,SGRAPH_REGRESSED,,unexpected errors: [no roots found]
TestSpec2025_Cross_ConditionalDirectiveMatrix/fragment_spread_variable_skip_false_include_false,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ConditionalDirectiveMatrix/fragment_spread_variable_skip_false_include_true,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ConditionalDirectiveMatrix/fragment_spread_variable_skip_true_include_false,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ConditionalDirectiveMatrix/fragment_spread_variable_skip_true_include_true,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ConditionalDirectiveMatrix/inline_fragment_literal_skip_false_include_false,PASS,FAIL,SGRAPH_REGRESSED,,unexpected errors: [no roots found]
TestSpec2025_Cross_ConditionalDirectiveMatrix/inline_fragment_literal_skip_false_include_true,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ConditionalDirectiveMatrix/inline_fragment_literal_skip_true_include_false,PASS,FAIL,SGRAPH_REGRESSED,,unexpected errors: [no roots found]
TestSpec2025_Cross_ConditionalDirectiveMatrix/inline_fragment_literal_skip_true_include_true,PASS,FAIL,SGRAPH_REGRESSED,,unexpected errors: [no roots found]
TestSpec2025_Cross_ConditionalDirectiveMatrix/nested_field_literal_skip_false_include_false,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ConditionalDirectiveMatrix/nested_field_literal_skip_false_include_true,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ConditionalDirectiveMatrix/nested_field_literal_skip_true_include_false,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ConditionalDirectiveMatrix/nested_field_literal_skip_true_include_true,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_CustomScalarMatrix/even_literal_is_rejected_by_validation,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_CustomScalarMatrix/even_variable_is_a_request_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_CustomScalarMatrix/failed_result_serialization_is_a_field_error,FAIL,PASS,SGRAPH_FIXED,a custom scalar whose Serialize returns nil must produce a field error,
TestSpec2025_Cross_CustomScalarMatrix/literal_odd_value_round_trips,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_CustomScalarMatrix/variable_odd_value_round_trips,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_DefaultResolverBranches,PASS,FAIL,SGRAPH_REGRESSED,,func property must be invoked by the default resolver; got 0x6964c0
TestSpec2025_Cross_ErrorPathsAcrossListsAndAliases/aliased_list_element_error_uses_the_alias,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ErrorPathsAcrossListsAndAliases/list_element_error_uses_index_and_keeps_siblings,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ErrorPathsAcrossListsAndAliases/multiple_sibling_errors_and_partial_data,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ErrorPathsAcrossListsAndAliases/nested_list_error_carries_every_index,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_ExtensionHooksRespectSelection,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_IntrospectionWithBusinessFields/meta_and_business_fields_in_one_selection_set,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_IntrospectionWithBusinessFields/skip_on_a_meta_field_next_to_business_fields,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_MutationSerialWithNestedSelections/failing_nullable_root_field_does_not_stop_later_roots,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_MutationSerialWithNestedSelections/nested_selections_complete_before_the_next_root_field,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_RepeatedResponseNameWithConditions/across_fragments,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_RepeatedResponseNameWithConditions/alias_included_field_excluded,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_RepeatedResponseNameWithConditions/both_excluded,PASS,FAIL,SGRAPH_REGRESSED,,unexpected errors: [no roots found]
TestSpec2025_Cross_RepeatedResponseNameWithConditions/both_included,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_RepeatedResponseNameWithConditions/first_included,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_RepeatedResponseNameWithConditions/merged_occurrences_call_the_resolver_once,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_RepeatedResponseNameWithConditions/second_included,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_VariableAndInputObjectMatrix/all_defaults_applied,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_VariableAndInputObjectMatrix/enum_variable,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_VariableAndInputObjectMatrix/explicit_null_does_not_use_the_field_default,FAIL,PASS,SGRAPH_FIXED,"echoFilter = text=t|count=7|mode=A|tags=<missing>|nested=<missing>, want text=t|count=<null>|mode=<null>|tags=<missing>|nested=<missing>",
TestSpec2025_Cross_VariableAndInputObjectMatrix/invalid_enum_in_a_nested_input_object_is_a_request_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_VariableAndInputObjectMatrix/literal_input_object_with_variable_leaves,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_VariableAndInputObjectMatrix/nested_input_object_defaults,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_VariableAndInputObjectMatrix/null_item_in_a_non_null_item_list_is_a_request_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_VariableAndInputObjectMatrix/single_value_is_coerced_into_a_list,PASS,PASS,BOTH_PASS,,
TestSpec2025_Cross_VariableAndInputObjectMatrix/unknown_nested_input_field_is_a_request_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_BuiltInScalarVariableCoercionBoundaries/boolean_false,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_BuiltInScalarVariableCoercionBoundaries/boolean_from_number_is_a_request_error,FAIL,FAIL,BOTH_FAIL,"expected a request error, got none; data=map[string]interface {}{""echoBool"":""true""}","expected a request error, got none; data=map[string]interface {}{""echoBool"":""true""}"
TestSpec2025_Execution_BuiltInScalarVariableCoercionBoundaries/boolean_true,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_BuiltInScalarVariableCoercionBoundaries/float_from_integer,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_BuiltInScalarVariableCoercionBoundaries/float_from_string_is_a_request_error,FAIL,FAIL,BOTH_FAIL,"expected a request error, got none; data=map[string]interface {}{""echoFloat"":""1.5""}","expected a request error, got none; data=map[string]interface {}{""echoFloat"":""1.5""}"
TestSpec2025_Execution_BuiltInScalarVariableCoercionBoundaries/id_from_boolean_is_a_request_error,FAIL,FAIL,BOTH_FAIL,"expected a request error, got none; data=map[string]interface {}{""echoID"":""string:true""}","expected a request error, got none; data=map[string]interface {}{""echoID"":""string:true""}"
TestSpec2025_Execution_BuiltInScalarVariableCoercionBoundaries/id_from_integer,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_BuiltInScalarVariableCoercionBoundaries/id_from_string,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_BuiltInScalarVariableCoercionBoundaries/int_above_int32_is_a_request_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_BuiltInScalarVariableCoercionBoundaries/int_below_int32_is_a_request_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_BuiltInScalarVariableCoercionBoundaries/int_from_boolean_is_a_request_error,FAIL,FAIL,BOTH_FAIL,"expected a request error, got none; data=map[string]interface {}{""echoInt"":""1""}","expected a request error, got none; data=map[string]interface {}{""echoInt"":""1""}"
TestSpec2025_Execution_BuiltInScalarVariableCoercionBoundaries/int_from_fractional_number_is_a_request_error,FAIL,FAIL,BOTH_FAIL,"expected a request error, got none; data=map[string]interface {}{""echoInt"":""1""}","expected a request error, got none; data=map[string]interface {}{""echoInt"":""1""}"
TestSpec2025_Execution_BuiltInScalarVariableCoercionBoundaries/int_from_numeric_string_is_a_request_error,FAIL,FAIL,BOTH_FAIL,"expected a request error, got none; data=map[string]interface {}{""echoInt"":""5""}","expected a request error, got none; data=map[string]interface {}{""echoInt"":""5""}"
TestSpec2025_Execution_BuiltInScalarVariableCoercionBoundaries/int_max_int32,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_BuiltInScalarVariableCoercionBoundaries/int_min_int32,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_BuiltInScalarVariableCoercionBoundaries/string_empty,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_BuiltInScalarVariableCoercionBoundaries/string_from_number_is_a_request_error,FAIL,FAIL,BOTH_FAIL,"expected a request error, got none; data=map[string]interface {}{""echoNoDefault"":""3""}","expected a request error, got none; data=map[string]interface {}{""echoNoDefault"":""3""}"
TestSpec2025_Execution_ContextPropagationAndCancellation/already_cancelled_context_produces_an_error_result,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_ContextPropagationAndCancellation/context_value_reaches_every_resolver,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_ErrorHandling,FAIL,PASS,SGRAPH_FIXED,isolated case execution_errorhandling failed: exit status 2,
TestSpec2025_Execution_FieldArgumentCoercion/argument_default_used_when_argument_is_omitted,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_FieldArgumentCoercion/explicit_null_beats_argument_default_on_echoOptional,FAIL,FAIL,BOTH_FAIL,"unexpected errors: [Syntax Error GraphQL request (1:23) Unexpected Name ""null""","unexpected errors: [Syntax Error GraphQL request (1:23) Unexpected Name ""null"""
TestSpec2025_Execution_FieldArgumentCoercion/explicit_null_literal_yields_null_not_the_argument_default,FAIL,FAIL,BOTH_FAIL,"unexpected errors: [Syntax Error GraphQL request (1:27) Unexpected Name ""null""","unexpected errors: [Syntax Error GraphQL request (1:27) Unexpected Name ""null"""
TestSpec2025_Execution_FieldArgumentCoercion/literal_argument_wins_over_argument_default,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_FieldArgumentCoercion/omitted_argument_uses_argument_default,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_FieldArgumentCoercion/omitted_variable_falls_back_to_argument_default,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_FieldArgumentCoercion/variable_argument_wins_over_argument_default,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_FieldArgumentCoercion/variable_default_used_when_variable_is_omitted,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_FieldArgumentCoercion/variable_holding_null_yields_null_not_the_argument_default,FAIL,PASS,SGRAPH_FIXED,"echo = ""a!"", want ""a<null>"" (query=query ($s: String) { echo(text: ""a"", suffix: $s) } vars=map[string]interface {}{""s"":interface {}(nil)})",
TestSpec2025_Execution_FieldArgumentCoercion/variable_null_beats_argument_default_on_echoOptional,FAIL,PASS,SGRAPH_FIXED,"echoOptional = ""argDefault"", want ""<null>"" (query=query ($v: String) { echoOptional(value: $v) } vars=map[string]interface {}{""v"":interface {}(nil)})",
TestSpec2025_Execution_FieldCollection/include_false_occurrence_does_not_prevent_a_later_occurrence,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_FieldCollection/merges_across_named_and_inline_fragments,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_FieldCollection/repeated_response_name_is_executed_once,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_FieldCollection/skip_and_include_are_evaluated_from_variables,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_FieldCollection/skip_true_removes_the_selection_from_collection,PASS,FAIL,SGRAPH_REGRESSED,,unexpected errors: [no roots found]
TestSpec2025_Execution_FieldCollection/sub_selections_of_merged_occurrences_are_unioned,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_MutationRootFieldsExecuteSerially/failing_nullable_root_field_does_not_stop_later_root_fields,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_MutationRootFieldsExecuteSerially/root_fields_and_their_subselections_complete_in_order,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_NullBubbling,FAIL,PASS,SGRAPH_FIXED,isolated case execution-null-bubbling failed: exit status 2,
TestSpec2025_Execution_QueryRootFieldsMayExecuteConcurrently,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_ResponsePositionFollowsCollectionOrder/a_later_occurrence_still_leads_when_it_is_the_first_collected_one,FAIL,PASS,SGRAPH_FIXED,"key ""a"" appears out of order in {""a"":""a"",""m"":""m"",""z"":""z""}",
TestSpec2025_Execution_ResponsePositionFollowsCollectionOrder/keys_follow_the_order_fields_appear_in_the_operation,FAIL,PASS,SGRAPH_FIXED,"key ""a"" appears out of order in {""a"":""a"",""m"":""m"",""z"":""z""}",
TestSpec2025_Execution_ResponsePositionFollowsCollectionOrder/position_comes_from_the_first_collected_occurrence,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_Subscription/each_source_event_is_mapped_through_execution,PASS,FAIL,SGRAPH_REGRESSED,,unexpected errors: [subscription is not supported yet]
TestSpec2025_Execution_Subscription/subscription_document_is_a_valid_request,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_ValueCompletionAbstract/interface_resolves_to_a_concrete_object_type,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_ValueCompletionAbstract/runtime_type_outside_the_possible_types_is_a_field_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_ValueCompletionAbstract/union_resolves_to_a_concrete_object_type,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_ValueCompletionLeaf/custom_scalar_serialize_returning_nil_is_a_field_error,FAIL,PASS,SGRAPH_FIXED,"error count = 0, want 1; got paths=[] messages=[]",
TestSpec2025_Execution_ValueCompletionLeaf/enum_value_outside_the_enum_is_a_field_error,FAIL,PASS,SGRAPH_FIXED,"error count = 0, want 1; got paths=[] messages=[]",
TestSpec2025_Execution_ValueCompletionLeaf/int_out_of_32_bit_range_is_a_field_error,FAIL,PASS,SGRAPH_FIXED,"error count = 0, want 1; got paths=[] messages=[]",
TestSpec2025_Execution_ValueCompletionLeaf/successful_leaf_coercions,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_ValueCompletionList/collections_of_every_shape_complete_element_wise,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_ValueCompletionList/non_collection_result_for_a_list_type_is_a_field_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_ValueResolution/default_resolution_branches,PASS,FAIL,SGRAPH_REGRESSED,,data mismatch
TestSpec2025_Execution_ValueResolution/explicit_resolver,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_ValueResolution/resolver_panicking_with_a_string_becomes_a_field_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_ValueResolution/resolver_panicking_with_an_error_becomes_a_field_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_ValueResolution/resolver_returning_a_typed_nil_pointer_yields_null,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_ValueResolution/resolver_returning_an_error_becomes_a_field_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_ValueResolution/resolver_returning_nil_yields_null,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_VariableCoercion/explicit_null_for_non_null_variable_is_a_request_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_VariableCoercion/explicit_null_for_nullable_variable,FAIL,PASS,SGRAPH_FIXED,"echoNoDefault = ""<missing>"", want ""<null>"" (query=query ($v: String) { echoNoDefault(value: $v) } vars=map[string]interface {}{""v"":interface {}(nil)})",
TestSpec2025_Execution_VariableCoercion/explicit_null_overrides_variable_default,FAIL,PASS,SGRAPH_FIXED,"echoNoDefault = ""varDefault"", want ""<null>"" (query=query ($v: String = ""varDefault"") { echoNoDefault(value: $v) } vars=map[string]interface {}{""v"":interface {}(nil)})",
TestSpec2025_Execution_VariableCoercion/input_object_field_explicit_null_stays_null,FAIL,PASS,SGRAPH_FIXED,"echoFilter = ""text=t|count=7|mode=A|tags=<missing>|nested=<missing>"", want ""text=t|count=<null>|mode=A|tags=<missing>|nested=<missing>"" (query=query ($f: S25Filter!) { echoFilter(filter: $f) } vars=map[string]interface {}{""f"":map[string]interface {}{""count"":interface {}(nil), ""text"":""t""}})",
TestSpec2025_Execution_VariableCoercion/input_object_field_omitted_uses_input_field_default,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_VariableCoercion/invalid_enum_value_is_a_request_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_VariableCoercion/nested_input_object_field_explicit_null_stays_null,FAIL,PASS,SGRAPH_FIXED,"echoFilter = ""text=t|count=7|mode=A|tags=<missing>|nested=map[flag:false]"", want ""text=t|count=7|mode=A|tags=<missing>|nested=map[flag:<nil>]"" (query=query ($f: S25Filter!) { echoFilter(filter: $f) } vars=map[string]interface {}{""f"":map[string]interface {}{""nested"":map[string]interface {}{""flag"":interface {}(nil)}, ""text"":""t""}})",
TestSpec2025_Execution_VariableCoercion/nested_input_object_field_omitted_uses_default,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_VariableCoercion/nested_list_single_value_is_coerced_at_every_level,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_VariableCoercion/nested_list_variable,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_VariableCoercion/omitted_non_null_variable_is_a_request_error,PASS,PASS,BOTH_PASS,,
TestSpec2025_Execution_VariableCoercion/omitted_nullable_variable_without_default_leaves_argument_absent,PASS,PASS,BOTH_PASS,,
